country_code,file_name,file_size_kb,file_extension,dimensions,aspect_ratio,flag_type,quality,source_url,dominant_colours
ad,ad.svg,28.459,SVG,"(512, 512)",1.0,,100,,"#0018a8,#0065bd,#703d29,#c7b37f,#d0103a,#d52b1e,#fcd900,#fedf00,#fff"
ae,ae.svg,0.268,SVG,"(512, 512)",1.0,,8,,"#000001,#00732f,#fff"
af,af.svg,18.539,SVG,"(512, 512)",1.0,,100,,"#000001,#090,#bd6b00,#bf0000,#fff"
ag,ag.svg,0.733,SVG,"(512, 512)",1.0,,12,,"#000001,#0072c6,#25ff01,#ce1126,#fcd116,#fff"
ai,ai.svg,2.26,SVG,"(512, 512)",1.0,,28,,"#012169,#9cf,#f90,#fdc301,#fff"
al,al.svg,3.065,SVG,"(512, 512)",1.0,,4,,#000001
am,am.svg,0.23,SVG,"(512, 512)",1.0,,6,,"#0033a0,#d90012,#f2a800"
ao,ao.svg,1.564,SVG,"(512, 512)",1.0,,18,,"#000001,#fe0,#ffec00"
aq,aq.svg,2.854,SVG,"(512, 512)",1.0,,6,,"#3a7dce,#fff"
ar,ar.svg,3.359,SVG,"(512, 512)",1.0,,28,,"#74acdf,#843511,#85340a,#f6b40e,#fff"
as,as.svg,30.25,SVG,"(512, 512)",1.0,,100,,"#006,#5a3719,#7b3c20,#999,#aa5323,#bd1021,#ffc221,#fff"
at,at.svg,0.198,SVG,"(512, 512)",1.0,,4,,"#c8102e,#fff"
au,au.svg,1.227,SVG,"(512, 512)",1.0,,12,,"#00008b,#fff"
aw,aw.svg,10.112,SVG,"(512, 512)",1.0,,100,,"#39c,#69c,#6cc,#9cc,#9cf,#c00,#c33,#c66,#ccf,#cff,#fcc,#ff0"
ax,ax.svg,0.53,SVG,"(512, 512)",1.0,,12,,"#0053a5,#d21034,#ffce00"
az,az.svg,0.477,SVG,"(512, 512)",1.0,,12,,"#00b9e4,#3f9c35,#ed2939,#fff"
ba,ba.svg,1.145,SVG,"(512, 512)",1.0,,8,,"#009,#fc0,#fff"
bb,bb.svg,0.604,SVG,"(512, 512)",1.0,,6,,"#000001,#00267f,#ffc726"
bd,bd.svg,0.185,SVG,"(512, 512)",1.0,,4,,"#006a4e,#f42a41"
be,be.svg,0.295,SVG,"(512, 512)",1.0,,6,,"#000001,#f31830,#ffd90c"
bf,bf.svg,0.37,SVG,"(512, 512)",1.0,,6,,"#35a100,#de0000,#fff300"
bg,bg.svg,0.228,SVG,"(512, 512)",1.0,,6,,"#00966e,#d62612,#fff"
bh,bh.svg,0.27,SVG,"(512, 512)",1.0,,4,,"#ce1126,#fff"
bi,bi.svg,1.027,SVG,"(512, 512)",1.0,,14,,"#18b637,#cf0921,#fff"
bj,bj.svg,0.489,SVG,"(512, 512)",1.0,,8,,"#319400,#de2110,#ffd600"
bl,bl.svg,0.282,SVG,"(512, 512)",1.0,,6,,"#00267f,#f31830,#fff"
bm,bm.svg,21.865,SVG,"(512, 512)",1.0,,100,,"#006,#2f8f22,#64b4d1,#784421,#c8102e,#cf142b,#d40000,#e4cb5e,#f5ce00,#fff"
bn,bn.svg,13.155,SVG,"(512, 512)",1.0,,54,,"#000001,#cf1126,#f7e017,#fff"
bo,bo.svg,102.273,SVG,"(512, 512)",1.0,,100,,"#005000,#007934,#007a3d,#00a6de,#00e519,#452c25,#574f4c,#5e3f17,#7a2e26,#842116,#a05a2c,#bd8759,#c6262c,#cccccf,#cce5e5,#d52b1e,#d9c0b9,#dba05f,#dcddde,#e7e7e7,#e8a30e,#f7e214,#ffe000,#ffe533,#fff"
bq,bq.svg,0.22,SVG,"(512, 512)",1.0,,6,,"#21468b,#ae1c28,#fff"
br,br.svg,6.588,SVG,"(512, 512)",1.0,,50,,"#229e45,#2b49a3,#309e3a,#f7ffff,#f8e509,#fff,#ffffef"
bs,bs.svg,0.565,SVG,"(512, 512)",1.0,,10,,"#000001,#08ced6,#ffe900,#fff"
bt,bt.svg,23.929,SVG,"(512, 512)",1.0,,100,,"#ff4e12,#ffd520,#fff"
bv,bv.svg,0.571,SVG,"(512, 512)",1.0,,10,,"#003897,#d72828,#fff"
bw,bw.svg,0.26,SVG,"(512, 512)",1.0,,6,,"#000001,#00cbff,#fff"
by,by.svg,2.033,SVG,"(512, 512)",1.0,,12,,"#007c30,#ce1720,#fff"
bz,bz.svg,41.677,SVG,"(512, 512)",1.0,,100,,"#000001,#003f87,#005800,#006ac8,#007f00,#289400,#5ac800,#69f,#730000,#782121,#7e4b7e,#9b5f00,#9dd7ff,#b34b00,#ccb8c8,#ce1126,#ff0018,#ffa54b,#ffb366,#ffd800,#ffd83c,#fff"
ca,ca.svg,0.617,SVG,"(512, 512)",1.0,,4,,"#d52b1e,#fff"
cc,cc.svg,2.983,SVG,"(512, 512)",1.0,,16,,"#802000,#ffe000"
cd,cd.svg,0.486,SVG,"(512, 512)",1.0,,8,,"#007fff,#ce1021,#f7d618,#fff"
cf,cf.svg,0.62,SVG,"(512, 512)",1.0,,14,,"#009a00,#00f,#ff0,#fff"
cg,cg.svg,0.45,SVG,"(512, 512)",1.0,,8,,"#00ca00,#ff0"
ch,ch.svg,0.281,SVG,"(512, 512)",1.0,,6,,#fff
ci,ci.svg,0.273,SVG,"(512, 512)",1.0,,6,,"#00cd00,#ff9a00,#fff"
ck,ck.svg,1.813,SVG,"(512, 512)",1.0,,14,,"#006,#c8102e,#fff"
cl,cl.svg,0.553,SVG,"(512, 512)",1.0,,10,,"#0039a6,#d52b1e,#fff"
cm,cm.svg,0.82,SVG,"(512, 512)",1.0,,8,,"#007a5e,#ce1126,#fcd116"
cn,cn.svg,0.733,SVG,"(512, 512)",1.0,,4,,"#ee1c25,#ff0"
co,co.svg,0.279,SVG,"(512, 512)",1.0,,6,,"#00148e,#da0010,#ffe800"
cr,cr.svg,0.283,SVG,"(512, 512)",1.0,,6,,"#0000b4,#d90000,#fff"
cu,cu.svg,0.555,SVG,"(512, 512)",1.0,,10,,"#002a8f,#cb1515,#fff"
cv,cv.svg,1.328,SVG,"(512, 512)",1.0,,10,,"#081873,#de3929,#ffce08,#fff"
cw,cw.svg,0.678,SVG,"(512, 512)",1.0,,8,,"#002b7f,#f9e814,#fff"
cx,cx.svg,2.422,SVG,"(512, 512)",1.0,,16,,"#0021ad,#1c8a42,#ffc639,#fff"
cy,cy.svg,5.381,SVG,"(512, 512)",1.0,,6,,"#435125,#d47600,#fff"
cz,cz.svg,0.221,SVG,"(512, 512)",1.0,,6,,"#11457e,#d7141a,#fff"
de,de.svg,0.224,SVG,"(512, 512)",1.0,,6,,"#000001,#fc0"
dj,dj.svg,0.562,SVG,"(512, 512)",1.0,,10,,"#0c0,#69f,#fffefe"
dk,dk.svg,0.227,SVG,"(512, 512)",1.0,,6,,"#c8102e,#fff"
dm,dm.svg,15.885,SVG,"(512, 512)",1.0,,100,,"#000001,#009200,#108c00,#804bff,#a95600,#c90000,#e72910,#ff0,#ffd600,#ffe700,#fff"
do,do.svg,40.367,SVG,"(512, 512)",1.0,,100,,"#000001,#002d62,#006300,#00863d,#00873f,#008f4c,#201b18,#aa241e,#ce1126,#eac102,#ff0,#fff"
dz,dz.svg,0.299,SVG,"(512, 512)",1.0,,6,,"#006233,#d21034,#fff"
ec,ec.svg,28.659,SVG,"(512, 512)",1.0,,100,,"#0000c4,#00148e,#005b00,#38a9f9,#812e00,#908f8a,#984000,#a7cfff,#afff7b,#b74d00,#b7e1ff,#cececc,#da0010,#e10000,#fede00,#ffdf00,#ffe800,#fff"
ee,ee.svg,0.228,SVG,"(512, 512)",1.0,,6,,"#000001,#1791ff,#fff"
eg,eg.svg,8.534,SVG,"(512, 512)",1.0,,48,,"#000001,#c09300,#ce1126,#fff"
eh,eh.svg,0.573,SVG,"(512, 512)",1.0,,14,,"#000001,#007a3d,#c4111b,#fff"
er,er.svg,3.248,SVG,"(512, 512)",1.0,,10,,"#239e46,#b4d7f4,#be0027,#f3e295"
es,es.svg,80.224,SVG,"(512, 512)",1.0,,100,,"#0039f0,#005bbf,#058e6e,#aa151b,#ad1519,#c7b500,#c8b100,#ccc,#db4446,#ed72aa,#f1bf00,#ffd691,#fff"
et,et.svg,1.152,SVG,"(512, 512)",1.0,,12,,"#006bc6,#298c08,#ef2118,#ffc621"
fi,fi.svg,0.231,SVG,"(512, 512)",1.0,,6,,"#002f6c,#fff"
fj,fj.svg,23.571,SVG,"(512, 512)",1.0,,100,,"#000001,#00a651,#012169,#68bfe5,#964b36,#c8102e,#d21034,#ffd100,#fff,#fff200"
fk,fk.svg,27.821,SVG,"(512, 512)",1.0,,100,,"#005120,#0072c4,#012169,#b6b6b4,#bcbcbc,#be0f17,#c4c4c2,#c8102e,#dd8b59,#fecf3e,#fefefe,#fff"
