subdivision_code,file_name,file_size_kb,file_extension,dimensions,aspect_ratio,flag_type,quality,source_url,dominant_colours
AD-02,AD-02.svg,34.159,SVG,"(525, 750)",1.43,,100,,"#000000,#008f4c,#0b3583,#8f8f8f,#c2c2c2,#ce5c17,#d6a25e,#da121a,#e3e4e5,#eac102,#fcdd09"
AD-03,AD-03.svg,17.998,SVG,"(525, 750)",1.43,,76,,"#0071bc,#0b3583,#630b57,#da121a,#e3e4e5,#eac102,#fcdd09,#ffcc00,#fff911"
AD-04,AD-04.svg,510.271,SVG,"(1600, 2286)",1.43,,100,,
AD-05,AD-05.svg,55.562,SVG,"(525, 750)",1.43,,100,,"#0071bc,#008f4c,#0b3583,#d81c3f,#da121a,#e3e4e5,#eac102,#ed1c24,#fcdd09"
AD-06,AD-06.svg,17.103,SVG,"(525, 750)",1.43,,100,,"#0071bc,#008f4c,#0b3583,#da121a,#eac102,#ed1c24,#fcdd09"
AD-07,AD-07.svg,5.97,SVG,"(500, 750)",1.5,,22,,"#078930,#0f47af,#a05a2c,#fbbb00,#fff"
AD-08,AD-08.svg,59.866,SVG,"(525, 750)",1.43,,100,,"#0071bc,#008f4c,#0b3583,#89c5e3,#969696,#da121a,#e3e4e5,#eac102,#ed1c24,#fcdd09"
AE-AJ,AE-AJ.svg,0.339,SVG,"(500, 1000)",2.0,,4,,#bf0000
AE-AZ,AE-AZ.svg,0.33,SVG,"(300, 600)",2.0,,4,,#bf0000
AE-DU,AE-DU.svg,0.171,SVG,"(200, 400)",2.0,,4,,"#bf0000,#fff"
AE-FU,AE-FU.svg,0.315,SVG,"(600, 1200)",2.0,,8,,"#00843d,#c8102e,#fff"
AE-RK,AE-RK.png,0.836,PNG,"(960, 1920)",2.0,,1.75,,
AE-SH,AE-SH.svg,0.2,SVG,"(400, 800)",2.0,,2,,#bf0000
AE-UQ,AE-UQ.svg,0.751,SVG,"(450, 900)",2.0,,10,,"#bf0000,#fff"
AF-KAB,AF-KAB.svg,12.616,SVG,"(267, 400)",1.5,,4,,"#003257,#fff"
AF-NIM,AF-NIM.png,3.58,PNG,"(216, 360)",1.67,,3.01,,
AF-PAN,AF-PAN.svg,0.633,SVG,"(427, 800)",1.87,,14,,"#005733,#005936,#030303,#8cb4a5,#a3a3a3,#fff"
AG-10,AG-10.svg,6.571,SVG,"(293, 488)",1.67,,18,,"#00923f,#0a0b0c,#3917ba,#da251d,#f8c300,#ffffff"
AL-01,AL-01.svg,12.333,SVG,"(500, 700)",1.4,,66,,"#009240,#393633,#c3c3c2,#da241d,#f8c400,#fff,#fff500"
AL-02,AL-02.svg,12.965,SVG,"(500, 700)",1.4,,16,,"#050d81,#1d1e21,#f4ebe8,#f8a609,#f92806,#fee000,#fff"
AL-03,AL-03.svg,11.843,SVG,"(500, 700)",1.4,,16,,"#49e7c6,#5fcdff,#7ecb00,#ba4903,#feff01"
AL-04,AL-04.png,116.99,PNG,"(1232, 1712)",1.39,,3.21,,
AL-05,AL-05.png,34.537,PNG,"(360, 504)",1.4,,31.7,,
AL-06,AL-06.svg,25.027,SVG,"(500, 700)",1.4,,36,,"#0052b6,#1268a5,#357600,#3b3c45,#f70d0e,#fe0000,#ffe330,#fff"
AL-07,AL-07.svg,5.897,SVG,"(500, 700)",1.4,,6,,"#2c2c74,#a31b1f,#d2ab66"
AL-08,AL-08.png,33.853,PNG,"(216, 302)",1.4,,36.22,,
AL-09,AL-09.png,89.249,PNG,"(472, 770)",1.63,,22.13,,
AL-10,AL-10.png,144.634,PNG,"(715, 1000)",1.4,,4.19,,
AL-11,AL-11.svg,7.354,SVG,"(500, 700)",1.4,,44,,"#476366,#99c4f1,#9a7e4e,#bd281f,#e89a4c,#ebcf9f"
AL-12,AL-12.svg,29.82,SVG,"(500, 700)",1.4,,26,,"#313031,#7793f7,#fee487,#ff605a,#fff"
AM-ER,AM-ER.svg,25.091,SVG,"(750, 1500)",2.0,,100,,
AR-A,AR-A.svg,6.597,SVG,"(400, 564)",1.41,,42,,"#000,#73c6f1,#873b27,#9c2941,#ebb34b,#ececec,#fecd00"
AR-B,AR-B.svg,13.271,SVG,"(900, 1400)",1.56,,48,,"#007d52,#3f91d9,#ff0000,#fffb00"
AR-C,AR-C.svg,294.551,SVG,"(450, 700)",1.56,,100,,"#0b0b0b,#1a1a1a,#1b1b1b,#1c1c1c,#1e1e1e,#303030,#333,#383838,#3c3c3c,#3d3d3d,#3f3f3d,#40403e,#43423e,#454545,#464645,#4d4d4d,#4e4e4d,#806600,#baa440,#bba033,#ce0f25,#d1b948,#dd1d2a,#e21c2a,#e7cd54,#eac102,#ebd65f,#ececec,#f6e078,#f6e17c,#f8ec94,#f8eca7,#f9de4c,#fea,#fee46e,#ff2a2a,#ff3232,#ffe66f,#ffeea8,#fff"
AR-D,AR-D.svg,115.621,SVG,"(400, 600)",1.5,,100,,"#007f01,#05933f,#66a72e,#759cdb,#75aadb,#899e1f,#943d1c,#a4a51f,#a4b11f,#a86409,#b3661c,#b56119,#bf6619,#c45a1a,#cf741c,#d88f00,#e06e13,#e3e4e5,#e6e6e6,#ebebeb,#ee9948,#fde61b,#fff"
AR-E,AR-E.svg,0.762,SVG,"(450, 900)",2.0,,6,,"#75aadb,#b43232,#ffffff"
AR-F,AR-F.svg,4.586,SVG,"(450, 700)",1.56,,94,,"#007bc4,#009442,#b52921,#df2118,#fff"
AR-G,AR-G.svg,12.682,SVG,"(200, 500)",2.5,,10,,"#75aadb,#d21010,#fcbf49,#ffffff"
AR-H,AR-H.svg,24.572,SVG,"(485, 728)",1.5,,86,,"#1db062,#843511,#94c9e9,#c24900,#db8e45,#fcbf49,#fff"
AR-J,AR-J.svg,46.05,SVG,"(900, 1400)",1.56,,100,,"#211714,#2b2c25,#586e47,#5b4025,#6b4a24,#751520,#93b3dc,#996a36,#ab121e,#ab4e3f,#bc9e6c,#c5a14b,#ece6cc,#fefefe,#ffffff"
AR-K,AR-K.svg,18.135,SVG,"(746, 1366)",1.83,,42,,"#594a27,#80b3ff,#843511,#fcbf49,#ff0000,#ffd42a,#ffffff"
AR-L,AR-L.svg,541.713,SVG,"(900, 1400)",1.56,,100,,"#2a100c,#2e1112,#4888af,#4aaeea,#4b92cb,#4ec0e8,#6ba72b,#74acdf,#cc3f2a,#d9cbaf,#de1e1b,#dfa460,#e4dcd2,#f1b63d,#f9db5d,#fccf34,#ffea57,#fff"
AR-M,AR-M.svg,301.425,SVG,"(720, 610)",0.85,,100,,"#008000,#008f4c,#00b052,#117226,#250,#2f74b5,#438bce,#4d91d1,#5093d1,#5798d3,#75aadb,#7f4100,#8a5b29,#8c0000,#900,#920000,#a0c4e6,#ac8800,#ae0000,#b3b3b3,#c87137,#d03c28,#dfad64,#e68a5d,#e6e6e6,#ececec,#f1bd6c,#f1bd89,#f1d65d,#fae4d4,#fca,#fd5,#ffd42a,#ffe680,#ffe6d5,#fff,#fffffd"
AR-N,AR-N.svg,0.426,SVG,"(600, 900)",1.5,,6,,"#003893,#dd0000,#ffffff"
AR-P,AR-P.svg,6.66,SVG,"(300, 550)",1.83,,8,,"#077937,#75aadb,#fcbf49,#ffffff"
AR-Q,AR-Q.svg,21.401,SVG,"(530, 664)",1.25,,82,,"#008c42,#73c6ef,#de2118,#ffc600,#fff"
AR-R,AR-R.svg,0.813,SVG,"(600, 900)",1.5,,10,,"#000,#0063be,#009a3b,#fff"
AR-S,AR-S.svg,40.89,SVG,"(450, 900)",2.0,,100,,"#000,#79abde,#843511,#935c35,#d32e12,#e20909,#fcbf49,#ffcc2a,#fff"
AR-T,AR-T.svg,1.122,SVG,"(400, 600)",1.5,,4,,"rgb(117,170,219),rgb(255,255,255)"
AR-U,AR-U.svg,2.889,SVG,"(600, 1200)",2.0,,54,,"#19639b,#19649b,#60b2d5,#e5d21f,#fff"
AR-V,AR-V.svg,1.634,SVG,"(216, 320)",1.48,,16,,"#1983dd,#fd9730,#fff"
AR-W,AR-W.svg,52.811,SVG,"(600, 900)",1.5,,100,,"#346d32,#3e7fd0,#4179ad,#60962d,#643d16,#74acdf,#86afe7,#8d4143,#a54b00,#b45a00,#b5543b,#c23624,#c65d37,#cd5329,#cf3a25,#d83a26,#da3b27,#df7a33,#e3c142,#e45430,#e6e6e6,#e7c662,#eba243,#ececec,#f00,#f60,#f7da9b,#fefcfc,#ff7f2a,#ffbe2a,#ffdd2a,#ffdec3,#fff"
AR-X,AR-X.svg,5.704,SVG,"(600, 900)",1.5,,8,,"#6cace4,#866d4b,#971b2f,#fff"
AR-Y,AR-Y.svg,47.509,SVG,"(6236, 5518)",0.88,,100,,
AR-Z,AR-Z.svg,28.405,SVG,"(504, 765)",1.52,,62,,"#1d97df,#291873,#73c5ee,#883a28,#a95e37,#f5b300,#f5f100,#ffffff"
AT-1,AT-1.svg,353.321,SVG,"(400, 600)",1.5,,100,,"#da121a,#fcdd09,#fff"
AT-2,AT-2.svg,40.976,SVG,"(600, 900)",1.5,,100,,"#000000,#da121a,#fcdd09,#ffffff,rgb(218,18,26),rgb(252,221,9),rgb(255,255,255)"
AT-3,AT-3.svg,39.347,SVG,"(400, 600)",1.5,,42,,"#000000,#002d72,#ffcd00"
AT-4,AT-4.svg,42.4,SVG,"(400, 600)",1.5,,100,,"#0f47af,#da121a,#fcdd09,#fff"
AT-5,AT-5.svg,51.488,SVG,"(600, 900)",1.5,,96,,"#da121a,#fcdd09,#fff,#ffffff"
AT-6,AT-6.svg,88.822,SVG,"(600, 900)",1.5,,100,,"#078930,#da121a,#fcdd09,#fff"
AT-7,AT-7.svg,21.323,SVG,"(400, 600)",1.5,,88,,"#078930,#da121a,#fcdd09,#ffffff"
AT-8,AT-8.svg,6.417,SVG,"(400, 600)",1.5,,36,,"#da121a,#ffffff"
AT-9,AT-9.svg,2.885,SVG,"(600, 900)",1.5,,14,,"#da121a,#fff"
AU-ACT,AU-ACT.svg,27.591,SVG,"(600, 1200)",2.0,,100,,"#003087,#ffcd00,#fff"
AU-NSW,AU-NSW.svg,55.425,SVG,"(600, 1200)",2.0,,100,,"#001e62,#00247d,#2b96f6,#306947,#ccc,#cf142b,#da291c,#f6e078,#fed100,#ffc828,#fff"
AU-NT,AU-NT.svg,1.959,SVG,"(600, 1200)",2.0,,16,,"#000,#c75b12,#fff"
AU-QLD,AU-QLD.svg,50.68,SVG,"(600, 1200)",2.0,,100,,"#00247d,#012169,#2b96f6,#41b6e6,#4a7729,#ccc,#e4002b,#f6e078,#ffc72c,#fff"
AU-SA,AU-SA.svg,12.215,SVG,"(600, 1200)",2.0,,26,,"#012169,#231f20,#40721b,#ffa400,#fff"
AU-TAS,AU-TAS.svg,24.076,SVG,"(600, 1200)",2.0,,100,,"#012169,#e4002b,#fff"
AU-VIC,AU-VIC.svg,50.0,SVG,"(600, 1200)",2.0,,100,,"#012169,#2b96f6,#4a7729,#ccc,#e4002b,#f6e078,#ffc72c,#fff"
AU-WA,AU-WA.svg,59.944,SVG,"(600, 1200)",2.0,,100,,"#00247d,#2b96f6,#306947,#ccc,#cf142b,#f6e078,#fed100,#ffe400,#fff"
