subdivisionCode,subdivisionName,subdivisionType
AF-BAL,Balkh,Province
AF-BAM,Bāmyān,Province
AF-BDG,Bādghīs,Province
AF-BDS,Badakhshān,Province
AF-BGL,Baghlān,Province
AF-DAY,Dāykundī,Province
AF-FRA,Farāh,Province
AF-FYB,Fāryāb,Province
AF-GHA,Ghaznī,Province
AF-GHO,Ghōr,Province
AF-HEL,Helmand,Province
AF-HER,Herāt,Province
AF-JOW,Jowzjān,Province
AF-KAN,Kandahār,Province
AF-KAP,Kāpīsā,Province
AF-KDZ,Kunduz,Province
AF-KHO,Khōst,Province
AF-KNR,Kunaṟ,Province
AF-LAG,Laghmān,Province
AF-LOG,Lōgar,Province
AF-NAN,Nangarhār,Province
AF-NUR,Nūristān,Province
AF-PAR,Parwān,Province
AF-PIA,Paktiyā,Province
AF-PKA,Paktīkā,Province
AF-SAM,Samangān,Province
AF-SAR,Sar-e Pul,Province
AF-TAK,Takhār,Province
AF-URU,Uruzgān,Province
AF-WAR,Wardak,Province
AF-ZAB,Zābul,Province
AG-03,Saint George,Parish
AG-04,Saint John,Parish
AG-05,Saint Mary,Parish
AG-06,Saint Paul,Parish
AG-07,Saint Peter,Parish
AG-08,Saint Philip,Parish
AG-11,Redonda,Dependency
AM-AG,Aragac̣otn,Region
AM-AR,Ararat,Region
AM-AV,Armavir,Region
AM-GR,Geġark'unik',Region
AM-KT,Kotayk',Region
AM-LO,Loṙi,Region
AM-SH,Širak,Region
AM-SU,Syunik',Region
AM-TV,Tavuš,Region
AM-VD,Vayoć Jor,Region
AO-BGO,Bengo,Province
AO-BGU,Benguela,Province
AO-BIE,Bié,Province
AO-CAB,Cabinda,Province
AO-CCU,Cuando Cubango,Province
AO-CNN,Cunene,Province
AO-CNO,Cuanza-Norte,Province
AO-CUS,Cuanza-Sul,Province
AO-HUA,Huambo,Province
AO-HUI,Huíla,Province
AO-LNO,Lunda-Norte,Province
AO-LSU,Lunda-Sul,Province
AO-LUA,Luanda,Province
AO-MAL,Malange,Province
AO-MOX,Moxico,Province
AO-NAM,Namibe,Province
AO-UIG,Uíge,Province
AO-ZAI,Zaire,Province
AZ-ABS,Abşeron,Rayon
AZ-AGA,Ağstafa,Rayon
AZ-AGC,Ağcabədi,Rayon
AZ-AGM,Ağdam,Rayon
AZ-AGS,Ağdaş,Rayon
AZ-AGU,Ağsu,Rayon
AZ-AST,Astara,Rayon
AZ-BAB,Babək,Rayon
AZ-BAL,Balakən,Rayon
AZ-BAR,Bərdə,Rayon
AZ-BEY,Beyləqan,Rayon
AZ-BIL,Biləsuvar,Rayon
AZ-CAB,Cəbrayıl,Rayon
AZ-CAL,Cəlilabad,Rayon
AZ-CUL,Culfa,Rayon
AZ-DAS,Daşkəsən,Rayon
AZ-FUZ,Füzuli,Rayon
AZ-GA,Gəncə,Municipality
AZ-GAD,Gədəbəy,Rayon
AZ-GOR,Goranboy,Rayon
AZ-GOY,Göyçay,Rayon
AZ-GYG,Göygöl,Rayon
AZ-HAC,Hacıqabul,Rayon
AZ-IMI,İmişli,Rayon
AZ-ISM,İsmayıllı,Rayon
AZ-KAL,Kəlbəcər,Rayon
AZ-KAN,Kǝngǝrli,Rayon
AZ-KUR,Kürdəmir,Rayon
AZ-LA,Lənkəran,Municipality
AZ-LAC,Laçın,Rayon
AZ-LAN,Lənkəran,Rayon
AZ-LER,Lerik,Rayon
AZ-MAS,Masallı,Rayon
AZ-MI,Mingəçevir,Municipality
AZ-NA,Naftalan,Municipality
AZ-NEF,Neftçala,Rayon
AZ-NV,Naxçıvan,Municipality
AZ-OGU,Oğuz,Rayon
AZ-ORD,Ordubad,Rayon
AZ-QAB,Qəbələ,Rayon
AZ-QAX,Qax,Rayon
AZ-QAZ,Qazax,Rayon
AZ-QBA,Quba,Rayon
AZ-QBI,Qubadlı,Rayon
AZ-QOB,Qobustan,Rayon
AZ-QUS,Qusar,Rayon
AZ-SA,Şəki,Municipality
AZ-SAB,Sabirabad,Rayon
AZ-SAD,Sədərək,Rayon
AZ-SAH,Şahbuz,Rayon
AZ-SAK,Şəki,Rayon
AZ-SAL,Salyan,Rayon
AZ-SAR,Şərur,Rayon
AZ-SAT,Saatlı,Rayon
AZ-SBN,Şabran,Rayon
AZ-SIY,Siyəzən,Rayon
AZ-SKR,Şəmkir,Rayon
AZ-SMI,Şamaxı,Rayon
AZ-SMX,Samux,Rayon
AZ-SR,Şirvan,Municipality
AZ-SUS,Şuşa,Rayon
AZ-TAR,Tərtər,Rayon
AZ-TOV,Tovuz,Rayon
AZ-UCA,Ucar,Rayon
AZ-XA,Xankəndi,Municipality
AZ-XAC,Xaçmaz,Rayon
AZ-XCI,Xocalı,Rayon
AZ-XIZ,Xızı,Rayon
AZ-XVD,Xocavənd,Rayon
AZ-YAR,Yardımlı,Rayon
AZ-YEV,Yevlax,Rayon
AZ-ZAN,Zəngilan,Rayon
AZ-ZAQ,Zaqatala,Rayon
AZ-ZAR,Zərdab,Rayon
BA-BIH,Federacija Bosne i Hercegovine,Entity
BB-01,Christ Church,Parish
BB-02,Saint Andrew,Parish
BB-03,Saint George,Parish
BB-04,Saint James,Parish
BB-05,Saint John,Parish
BB-06,Saint Joseph,Parish
BB-07,Saint Lucy,Parish
BB-08,Saint Michael,Parish
BB-09,Saint Peter,Parish
BB-10,Saint Philip,Parish
BB-11,Saint Thomas,Parish
BD-01,Bandarban,District
BD-02,Barguna,District
BD-03,Bogura,District
BD-04,Brahmanbaria,District
BD-05,Bagerhat,District
BD-06,Barishal,District
BD-07,Bhola,District
BD-08,Cumilla,District
BD-09,Chandpur,District
BD-10,Chattogram,District
BD-11,Cox's Bazar,District
BD-12,Chuadanga,District
BD-13,Dhaka,District
BD-14,Dinajpur,District
BD-15,Faridpur,District
BD-16,Feni,District
BD-17,Gopalganj,District
BD-18,Gazipur,District
BD-19,Gaibandha,District
BD-20,Habiganj,District
BD-21,Jamalpur,District
BD-22,Jashore,District
BD-23,Jhenaidah,District
BD-24,Joypurhat,District
BD-25,Jhalakathi,District
BD-26,Kishoreganj,District
BD-27,Khulna,District
BD-28,Kurigram,District
BD-29,Khagrachhari,District
BD-30,Kushtia,District
BD-31,Lakshmipur,District
BD-32,Lalmonirhat,District
BD-33,Manikganj,District
BD-34,Mymensingh,District
BD-35,Munshiganj,District
BD-36,Madaripur,District
BD-37,Magura,District
BD-38,Moulvibazar,District
BD-39,Meherpur,District
BD-40,Narayanganj,District
BD-41,Netrakona,District
BD-42,Narsingdi,District
BD-43,Narail,District
BD-44,Natore,District
BD-45,Chapai Nawabganj,District
BD-46,Nilphamari,District
BD-47,Noakhali,District
BD-48,Naogaon,District
BD-49,Pabna,District
BD-50,Pirojpur,District
BD-51,Patuakhali,District
BD-52,Panchagarh,District
BD-53,Rajbari,District
BD-54,Rajshahi,District
BD-55,Rangpur,District
BD-56,Rangamati,District
BD-57,Sherpur,District
BD-58,Satkhira,District
BD-59,Sirajganj,District
BD-60,Sylhet,District
BD-61,Sunamganj,District
BD-62,Shariatpur,District
BD-63,Tangail,District
BD-64,Thakurgaon,District
BD-A,Barishal,Division
BD-B,Chattogram,Division
BD-C,Dhaka,Division
BD-D,Khulna,Division
BD-E,Rajshahi,Division
BD-F,Rangpur,Division
BD-G,Sylhet,Division
BD-H,Mymensingh,Division
BF-01,Boucle du Mouhoun,Region
BF-02,Cascades,Region
BF-03,Centre,Region
BF-04,Centre-Est,Region
BF-05,Centre-Nord,Region
BF-06,Centre-Ouest,Region
BF-07,Centre-Sud,Region
BF-08,Est,Region
BF-09,Hauts-Bassins,Region
BF-10,Nord,Region
BF-11,Plateau-Central,Region
BF-12,Sahel,Region
BF-13,Sud-Ouest,Region
BF-BAL,Balé,Province
BF-BAM,Bam,Province
BF-BAN,Banwa,Province
BF-BAZ,Bazèga,Province
BF-BGR,Bougouriba,Province
BF-BLG,Boulgou,Province
BF-BLK,Boulkiemdé,Province
BF-COM,Comoé,Province
BF-GAN,Ganzourgou,Province
BF-GNA,Gnagna,Province
BF-GOU,Gourma,Province
BF-HOU,Houet,Province
BF-IOB,Ioba,Province
BF-KAD,Kadiogo,Province
BF-KEN,Kénédougou,Province
BF-KMD,Komondjari,Province
BF-KMP,Kompienga,Province
BF-KOP,Koulpélogo,Province
BF-KOS,Kossi,Province
BF-KOT,Kouritenga,Province
BF-KOW,Kourwéogo,Province
BF-LER,Léraba,Province
BF-LOR,Loroum,Province
BF-MOU,Mouhoun,Province
BF-NAM,Namentenga,Province
BF-NAO,Nahouri,Province
BF-NAY,Nayala,Province
BF-NOU,Noumbiel,Province
BF-OUB,Oubritenga,Province
BF-OUD,Oudalan,Province
BF-PAS,Passoré,Province
BF-PON,Poni,Province
BF-SEN,Séno,Province
BF-SIS,Sissili,Province
BF-SMT,Sanmatenga,Province
BF-SNG,Sanguié,Province
BF-SOM,Soum,Province
BF-SOR,Sourou,Province
BF-TAP,Tapoa,Province
BF-TUI,Tuy,Province
BF-YAG,Yagha,Province
BF-YAT,Yatenga,Province
BF-ZIR,Ziro,Province
BF-ZON,Zondoma,Province
BF-ZOU,Zoundwéogo,Province
BG-01,Blagoevgrad,District
BG-02,Burgas,District
BG-03,Varna,District
BG-04,Veliko Tarnovo,District
BG-05,Vidin,District
BG-06,Vratsa,District
BG-07,Gabrovo,District
BG-08,Dobrich,District
BG-09,Kardzhali,District
BG-10,Kyustendil,District
BG-11,Lovech,District
BG-12,Montana,District
BG-13,Pazardzhik,District
BG-14,Pernik,District
BG-15,Pleven,District
BG-16,Plovdiv,District
BG-17,Razgrad,District
BG-18,Ruse,District
BG-19,Silistra,District
BG-20,Sliven,District
BG-21,Smolyan,District
BG-22,Sofia (stolitsa),District
BG-23,Sofia,District
BG-24,Stara Zagora,District
BG-25,Targovishte,District
BG-26,Haskovo,District
BG-27,Shumen,District
BG-28,Yambol,District
BI-BB,Bubanza,Province
BI-BL,Bujumbura Rural,Province
BI-BM,Bujumbura Mairie,Province
BI-BR,Bururi,Province
BI-CA,Cankuzo,Province
BI-CI,Cibitoke,Province
BI-GI,Gitega,Province
BI-KI,Kirundo,Province
BI-KR,Karuzi,Province
BI-KY,Kayanza,Province
BI-MA,Makamba,Province
BI-MU,Muramvya,Province
BI-MW,Mwaro,Province
BI-MY,Muyinga,Province
BI-NG,Ngozi,Province
BI-RM,Rumonge,Province
BI-RT,Rutana,Province
BI-RY,Ruyigi,Province
BJ-AK,Atacora,Department
BJ-AL,Alibori,Department
BJ-AQ,Atlantique,Department
BJ-BO,Borgou,Department
BJ-CO,Collines,Department
BJ-DO,Donga,Department
BJ-KO,Couffo,Department
BJ-LI,Littoral,Department
BJ-MO,Mono,Department
BJ-OU,Ouémé,Department
BJ-PL,Plateau,Department
BJ-ZO,Zou,Department
BN-BE,Belait,District
BN-BM,Brunei-Muara,District
BN-TE,Temburong,District
BN-TU,Tutong,District
BS-AK,Acklins,District
BS-BI,Bimini,District
BS-BP,Black Point,District
BS-BY,Berry Islands,District
BS-CE,Central Eleuthera,District
BS-CI,Cat Island,District
BS-CK,Crooked Island and Long Cay,District
BS-CO,Central Abaco,District
BS-CS,Central Andros,District
BS-EG,East Grand Bahama,District
BS-EX,Exuma,District
BS-FP,City of Freeport,District
BS-GC,Grand Cay,District
BS-HI,Harbour Island,District
BS-HT,Hope Town,District
BS-IN,Inagua,District
BS-LI,Long Island,District
BS-MC,Mangrove Cay,District
BS-MG,Mayaguana,District
BS-MI,Moore's Island,District
BS-NE,North Eleuthera,District
BS-NO,North Abaco,District
BS-NP,New Providence,Island
BS-NS,North Andros,District
BS-RC,Rum Cay,District
BS-RI,Ragged Island,District
BS-SA,South Andros,District
BS-SE,South Eleuthera,District
BS-SO,South Abaco,District
BS-SS,San Salvador,District
BS-SW,Spanish Wells,District
BS-WG,West Grand Bahama,District
BT-11,Paro,District
BT-12,Chhukha,District
BT-13,Haa,District
BT-14,Samtse,District
BT-15,Thimphu,District
BT-21,Tsirang,District
BT-22,Dagana,District
BT-23,Punakha,District
BT-24,Wangdue Phodrang,District
BT-31,Sarpang,District
BT-32,Trongsa,District
BT-33,Bumthang,District
BT-34,Zhemgang,District
BT-41,Trashigang,District
BT-42,Monggar,District
BT-43,Pema Gatshel,District
BT-44,Lhuentse,District
BT-45,Samdrup Jongkhar,District
BT-GA,Gasa,District
BT-TY,Trashi Yangtse,District
BW-CE,Central,District
BW-CH,Chobe,District
BW-GH,Ghanzi,District
BW-KG,Kgalagadi,District
BW-KL,Kgatleng,District
BW-KW,Kweneng,District
BW-NE,North East,District
BW-NW,North West,District
BW-SE,South East,District
BW-SO,Southern,District
BZ-BZ,Belize,District
BZ-CY,Cayo,District
BZ-CZL,Corozal,District
BZ-OW,Orange Walk,District
BZ-SC,Stann Creek,District
BZ-TOL,Toledo,District
CD-BC,Kongo Central,Province
CD-BU,Bas-Uélé,Province
CD-EQ,Équateur,Province
CD-HK,Haut-Katanga,Province
CD-HL,Haut-Lomami,Province
CD-HU,Haut-Uélé,Province
CD-IT,Ituri,Province
CD-KC,Kasaï Central,Province
CD-KE,Kasaï Oriental,Province
CD-KG,Kwango,Province
CD-KL,Kwilu,Province
CD-KS,Kasaï,Province
CD-LO,Lomami,Province
CD-LU,Lualaba,Province
CD-MA,Maniema,Province
CD-MN,Mai-Ndombe,Province
CD-MO,Mongala,Province
CD-NK,Nord-Kivu,Province
CD-NU,Nord-Ubangi,Province
CD-SK,Sud-Kivu,Province
CD-SU,Sud-Ubangi,Province
CD-TA,Tanganyika,Province
CD-TO,Tshopo,Province
CD-TU,Tshuapa,Province
CF-AC,Ouham,Prefecture
CF-BB,Bamingui-Bangoran,Prefecture
CF-BGF,Bangui,Commune
CF-BK,Basse-Kotto,Prefecture
CF-HK,Haute-Kotto,Prefecture
CF-HM,Haut-Mbomou,Prefecture
CF-HS,Haute-Sangha / Mambéré-Kadéï,Prefecture
CF-KB,Gribingui,Economic prefecture
CF-KG,Kémo-Gribingui,Prefecture
CF-LB,Lobaye,Prefecture
