Country,URL
Antarctica,https://en.wikipedia.org/wiki/List_of_Antarctic_flags
Argentina,https://en.wikipedia.org/wiki/List_of_Argentine_flags
Australia,https://en.wikipedia.org/wiki/List_of_Australian_flags
Belarus,https://en.wikipedia.org/wiki/List_of_Belarusian_flags
Belgium,https://en.wikipedia.org/wiki/List_of_Belgian_flags
Bosnia and Herzegovina,https://en.wikipedia.org/wiki/List_of_flags_of_Bosnia_and_Herzegovina
Brazil,https://en.wikipedia.org/wiki/List_of_Brazilian_flags
Canada,https://en.wikipedia.org/wiki/List_of_Canadian_flags
Chile,https://en.wikipedia.org/wiki/List_of_Chilean_flags
China,https://en.wikipedia.org/wiki/List_of_Chinese_flags
Colombia,https://en.wikipedia.org/wiki/List_of_Colombian_flags
Comoros,https://en.wikipedia.org/wiki/Flag_of_the_Comoros
Costa Rica,https://en.wikipedia.org/wiki/List_of_Costa_Rican_flags
Croatia,https://en.wikipedia.org/wiki/List_of_Croatian_flags
Denmark,https://en.wikipedia.org/wiki/List_of_Danish_flags
Ecuador,https://en.wikipedia.org/wiki/Flag_of_Ecuador
Egypt,https://en.wikipedia.org/wiki/Flags_of_regions_of_Egypt
Estonia,https://en.wikipedia.org/wiki/Flags_of_Estonian_counties
Ethiopia,https://en.wikipedia.org/wiki/Flags_and_emblems_of_the_regions_of_Ethiopia
Finland,https://en.wikipedia.org/wiki/List_of_flags_of_Finland
France,https://en.wikipedia.org/wiki/Flags_of_the_regions_of_France
Georgia,https://en.wikipedia.org/wiki/List_of_flags_of_Georgia_(country)
Germany,https://en.wikipedia.org/wiki/Flags_of_German_states
Greece,https://en.wikipedia.org/wiki/List_of_Greek_flags
Hungary,https://en.wikipedia.org/wiki/List_of_Hungarian_flags
India,https://en.wikipedia.org/wiki/List_of_Indian_state_flags
Indonesia,https://en.wikipedia.org/wiki/List_of_flags_of_Indonesia
Iraq,https://en.wikipedia.org/wiki/Flag_of_Iraq
Ireland,https://en.wikipedia.org/wiki/List_of_flags_of_Ireland
Ireland,https://en.wikipedia.org/wiki/County_colours_(Gaelic_games)
Israel,https://en.wikipedia.org/wiki/List_of_flags_of_Israel
Italy,https://en.wikipedia.org/wiki/Flags_of_regions_of_Italy
Japan,https://en.wikipedia.org/wiki/List_of_flags_from_Japanese_subregions
Japan,https://en.wikipedia.org/wiki/Lists_of_Japanese_municipal_flags
Kazakhstan,https://en.wikipedia.org/wiki/List_of_Kazakh_flags
Kenya,https://en.wikipedia.org/wiki/Flags_of_the_counties_of_Kenya
South Korea,https://commons.wikimedia.org/wiki/Flags_of_administrative_divisions_of_South_Korea
Kyrgyzstan,https://en.wikipedia.org/wiki/List_of_Kyrgyz_Flags
Liberia,https://en.wikipedia.org/wiki/Flag_of_Liberia
Lithuania,https://en.wikipedia.org/wiki/List_of_flags_of_Lithuania
Malaysia,https://en.wikipedia.org/wiki/List_of_Malaysian_flags
Malta,https://en.wikipedia.org/wiki/List_of_flags_of_Malta
Mauritania,https://en.wikipedia.org/wiki/List_of_Mauritian_flags
Mexico,https://en.wikipedia.org/wiki/State_flags_of_Mexico
Mongolia,https://en.wikipedia.org/wiki/Flag_of_Mongolia
Morocco,https://en.wikipedia.org/wiki/List_of_Moroccan_flags
Burma,https://en.wikipedia.org/wiki/List_of_Burmese_flags
Netherlands,https://en.wikipedia.org/wiki/List_of_Dutch_flags
New Zealand,https://en.wikipedia.org/wiki/List_of_New_Zealand_flags
Nigeria,https://en.wikipedia.org/wiki/Flag_of_Nigeria
North Macedonia,https://en.wikipedia.org/wiki/Flags_of_North_Macedonia
Norway,https://en.wikipedia.org/wiki/Flags_of_Norwegian_subdivisions
Pakistan,https://en.wikipedia.org/wiki/List_of_Pakistani_flags
Palau,https://en.wikipedia.org/wiki/Flags_of_the_states_of_Palau
Papua New Guinea,https://en.wikipedia.org/wiki/List_of_Papua_New_Guinean_flags
Peru,https://en.wikipedia.org/wiki/List_of_flags_of_Peru
Philippines,https://en.wikipedia.org/wiki/Flags_of_the_provinces_of_the_Philippines
Poland,https://en.wikipedia.org/wiki/Flags_of_Polish_voivodeships
Portugal,https://en.wikipedia.org/wiki/List_of_Portuguese_flags
Puerto Rico,https://commons.wikimedia.org/wiki/Flags_of_municipalities_in_Puerto_Rico
Romania,https://en.wikipedia.org/wiki/List_of_flags_of_Romania
Russia,https://en.wikipedia.org/wiki/Flags_of_Federal_subjects_of_Russia
Serbia,https://commons.wikimedia.org/wiki/Flags_of_municipalities_of_Serbia
Somalia,https://en.wikipedia.org/wiki/Flag_of_Somalia
South Africa,https://en.wikipedia.org/wiki/List_of_South_African_flags
South Sudan,https://en.wikipedia.org/wiki/Flag_of_South_Sudan
Spain,https://en.wikipedia.org/wiki/Flags_of_the_autonomous_communities_of_Spain
Spain,https://en.wikipedia.org/wiki/List_of_provincial_flags_of_Spain
Spain,https://en.wikipedia.org/wiki/List_of_Spanish_flags
Spain,https://en.wikipedia.org/wiki/Lists_of_Spanish_municipal_flags
Sri Lanka,https://en.wikipedia.org/wiki/List_of_Sri_Lankan_flags
Sweden,https://en.wikipedia.org/wiki/List_of_flags_of_Sweden
Switzerland,https://en.wikipedia.org/wiki/Flags_of_Swiss_cantons
Thailand,https://en.wikipedia.org/wiki/List_of_Thai_flags
Ukraine,https://en.wikipedia.org/wiki/Flags_of_the_regions_of_Ukraine
Ukraine,https://en.wikipedia.org/wiki/List_of_flags_of_the_raions_of_Ukraine
United Arab Emirates,https://en.wikipedia.org/wiki/Flag_of_the_United_Arab_Emirates
United Kingdom,https://en.wikipedia.org/wiki/List_of_United_Kingdom_flags
United Kingdom,https://en.wikipedia.org/wiki/List_of_English_flags
United Kingdom,https://en.wikipedia.org/wiki/List_of_flags_used_in_Northern_Ireland
United Kingdom,https://en.wikipedia.org/wiki/List_of_Scottish_flags
United Kingdom,https://en.wikipedia.org/wiki/List_of_Welsh_flags
"Saint Helena, Ascension and Tristan Da Cunha","https://en.wikipedia.org/wiki/Flag_of_Saint_Helena,_Ascension_and_Tristan_da_Cunha"
USA,https://en.wikipedia.org/wiki/Flags_of_the_U.S._states_and_territories
USA,https://commons.wikimedia.org/wiki/Flags_of_counties_of_the_United_States
Uzbekistan,https://en.wikipedia.org/wiki/List_of_Uzbek_flags
Venezuela,https://en.wikipedia.org/wiki/List_of_flags_of_Venezuela
Yemen,https://en.wikipedia.org/wiki/Flag_of_Yemen
Austria-Hungary,https://commons.wikimedia.org/wiki/Flags_of_Austria-Hungary
USA,https://en.wikipedia.org/wiki/Flags_of_the_Confederate_States_of_America
Nguyen Dynasty,https://en.wikipedia.org/wiki/Flags_of_the_Nguy%E1%BB%85n_dynasty%27s_administrative_units
Soviet Russia,https://en.wikipedia.org/wiki/Flags_of_the_Soviet_Republics
Yugoslavia,https://en.wikipedia.org/wiki/Flag_of_Yugoslavia
Yugoslavia,https://en.wikipedia.org/wiki/Flag_of_Yugoslavia
