Country,URL
Argentina,https://en.wikipedia.org/wiki/List_of_Argentine_flags
Australia,https://en.wikipedia.org/wiki/List_of_Australian_flags#States_and_territories
Austria,https://en.wikipedia.org/wiki/Flags_and_coats_of_arms_of_the_Austrian_states
Belarus,https://en.wikipedia.org/wiki/List_of_Belarusian_flags#Subdivision_flags
Belgium,https://en.wikipedia.org/wiki/List_of_Belgian_flags#Sub-national
Belize,https://en.wikipedia.org/wiki/List_of_Belizean_flags
"Bonaire, Saint Eustatius and Saba",https://en.wikipedia.org/wiki/Caribbean_Netherlands#Administration
Bosnia and Herzegovina,https://en.wikipedia.org/wiki/List_of_flags_of_Bosnia_and_Herzegovina
Brazil,https://en.wikipedia.org/wiki/List_of_Brazilian_flags
Canada,https://en.wikipedia.org/wiki/List_of_Canadian_flags
Chile,https://en.wikipedia.org/wiki/List_of_Chilean_flags
China,https://en.wikipedia.org/wiki/List_of_Chinese_flags
Colombia,https://en.wikipedia.org/wiki/List_of_Colombian_flags
Comoros,https://en.wikipedia.org/wiki/Flag_of_the_Comoros#Flags_of_individual_islands
Costa Rica,https://en.wikipedia.org/wiki/List_of_Costa_Rican_flags#Provinces
Croatia,https://en.wikipedia.org/wiki/List_of_Croatian_flags#Subnational_flags
Ecuador,"https://en.wikipedia.org/wiki/Flag_of_Ecuador#Provincial_flags, https://commons.wikimedia.org/wiki/Flags_of_cantons_of_Ecuador"
Egypt,https://en.wikipedia.org/wiki/Flags_of_regions_of_Egypt
Estonia,https://en.wikipedia.org/wiki/Flags_of_Estonian_counties
Ethiopia,https://en.wikipedia.org/wiki/Flags_and_emblems_of_the_regions_of_Ethiopia#Regional_Flags
Finland,https://en.wikipedia.org/wiki/List_of_flags_of_Finland#Regional_flags
France,https://en.wikipedia.org/wiki/Flags_of_the_regions_of_France
Georgia,https://en.wikipedia.org/wiki/List_of_flags_of_Georgia_(country)#Regional_flags
Germany,https://en.wikipedia.org/wiki/Flags_of_German_states
Greece,https://en.wikipedia.org/wiki/List_of_Greek_flags#Regional_and_municipal_flags
Greenland,https://en.wikipedia.org/wiki/Administrative_divisions_of_Greenland
Hungary,https://en.wikipedia.org/wiki/List_of_Hungarian_flags#Subdivision_flags
Iceland,https://commons.wikimedia.org/wiki/Category:Coats_of_arms_of_municipalities_of_Iceland
India,https://en.wikipedia.org/wiki/List_of_Indian_state_flags
Indonesia,https://en.wikipedia.org/wiki/List_of_flags_of_Indonesia#Provincial_flags
Iraq,https://en.wikipedia.org/wiki/Flag_of_Iraq
Ireland,https://en.wikipedia.org/wiki/List_of_flags_of_Ireland#Traditional_province_flags
Israel,https://en.wikipedia.org/wiki/List_of_flags_of_Israel#Municipal_flags
Japan,"https://en.wikipedia.org/wiki/List_of_flags_from_Japanese_subregions, https://en.wikipedia.org/wiki/Lists_of_Japanese_municipal_flags"
Kazakhstan,https://en.wikipedia.org/wiki/List_of_Kazakh_flags#Administrative_divisions
Kenya,https://en.wikipedia.org/wiki/Flags_of_the_counties_of_Kenya
Kyrgyzstan,https://en.wikipedia.org/wiki/List_of_Kyrgyz_Flags#Regional_flags
Liberia,https://en.wikipedia.org/wiki/Flag_of_Liberia#County_flags
Liechtenstein,https://en.wikipedia.org/wiki/Municipalities_of_Liechtenstein
Lithuania,https://en.wikipedia.org/wiki/List_of_flags_of_Lithuania#County_flags
Malaysia,https://en.wikipedia.org/wiki/List_of_Malaysian_flags#Administrative_divisions
Malta,https://en.wikipedia.org/wiki/List_of_flags_of_Malta
Mauritius,https://en.wikipedia.org/wiki/List_of_Mauritian_flags
Mexico,https://en.wikipedia.org/wiki/State_flags_of_Mexico
Micronesia,https://en.wikipedia.org/wiki/Flag_of_the_Federated_States_of_Micronesia#State_flags
Mongolia,https://en.wikipedia.org/wiki/Flag_of_Mongolia#Administrative_divisions
Morocco,https://en.wikipedia.org/wiki/List_of_Moroccan_flags#Regional_flags
Mozambique,https://en.wikipedia.org/wiki/Flag_of_Mozambique
Myanmar,https://en.wikipedia.org/wiki/Administrative_divisions_of_Myanmar
Nepal,https://en.wikipedia.org/wiki/Provinces_of_Nepal
Netherlands,"https://en.wikipedia.org/wiki/List_of_Dutch_flags, https://en.wikipedia.org/wiki/Flags_of_provinces_of_the_Netherlands"
New Zealand,https://en.wikipedia.org/wiki/List_of_New_Zealand_flags
Nicaragua,https://en.wikipedia.org/wiki/Departments_of_Nicaragua
Nigeria,https://en.wikipedia.org/wiki/Flag_of_Nigeria#Subnational_flags
North Macedonia,https://en.wikipedia.org/wiki/List_of_North_Macedonian_flags
Norway,https://en.wikipedia.org/wiki/Flags_of_Norwegian_subdivisions
Pakistan,https://en.wikipedia.org/wiki/List_of_Pakistani_flags#Provincial_and_Territorial_Flags
Palau,https://en.wikipedia.org/wiki/Flags_of_the_states_of_Palau
Papua New Guinea,https://en.wikipedia.org/wiki/List_of_Papua_New_Guinean_flags#Provincial_flags
Paraguay,https://en.wikipedia.org/wiki/Departments_of_Paraguay
Peru,https://en.wikipedia.org/wiki/List_of_flags_of_Peru#Subnational_flags
